"Date, Rm",Topic,Do Before Class,In-Class Exercise
"Tues, Oct 1","- Pandas: Cleaning
- Tracebacks","- `Reading and Writing Data (plaintext AND binary) <../notebooks/class_3/week_3/00_plaintext_files.html>`_
- `Data Cleaning (through the missing data subsection on left side bar) <../notebooks/class_3/week_3/20_cleaning_identifying.html>`_
- `Python Strings (string section only!) <https://realpython.com/python-data-types/#strings>`_",
"Thurs, Oct 3",- Plotting,- `Plotting in Python through seaborn and Grammer of Graphics <../notebooks/class_5/week_2/10_plotting_in_python.html>`_,
"Tues, Oct 8",- Plotting,"- `Matplotlib <../notebooks/class_5/week_5/45_plotting_with_matplotlib.html>`_
- `Making Pretty Plots <../notebooks/class_5/week_5/46_making_plots_pretty.html>`_
- `Convert seaborn.objects to matplotlib axes <https://seaborn.pydata.org/generated/seaborn.objects.Plot.on.html>`_",
"Thurs, Oct 10",- Merging,"- `Data Manipulations, Concatenating and Merging (NOT grouping or querying subsections on left navigation) <../notebooks/class_3/week_4/00_intro_to_querying_data.html>`_",
"Tues, Oct 15",**FALL BREAK**,,
"Thurs, Oct 17","**FALL BREAK** (Not technically, but take the week)",,
"Tues, Oct 22","- Big Data: What is it, how do I work with it?","- `What is Big Data? <../notebooks/PDS_not_yet_in_coursera/30_big_data/10_big_data_what_is_it.html>`_
- `Strategies for Big Data <../notebooks/PDS_not_yet_in_coursera/30_big_data/20_big_data_strategies.html>`_
- Download the dataset linked at the top of the linked exercise before class.
- `Parquet Format <../notebooks/PDS_not_yet_in_coursera/30_big_data/30_parquet.html>`_",
"Thurs, Oct 24","- Defensive Programming
- Workflow
- Backwards Design
- Getting Help Online
- Git and Github","- `Workflow Management <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/workflow.html>`_
- `Backwards Design <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/backwards_design.html>`_
- `Getting Help <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/getting_help.html>`_
- `Opioid Project <https://github.com/nickeubank/practicaldatascience/blob/master/opioid_project/PDS_ProjectSummary.pdf>`_",
"Tues, Oct 29","- Defensive Programming
- Groupby / Split-Apply-Combine","- `Defensive Programming <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/defensive_programming.html>`_
- `Iceberg Principle <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/iceberg_principle.html>`_
- `Groupby <../notebooks/class_3/week_4/20_grouping.html>`_
- WM pp Chpt 10, 10.1, 10.2, 10.3",
"Thurs, Oct 31","- Pandas: Reshaping
- Pandas: Categoricals","- WM 8.3
- `Pandas reshaping (with pics!) <https://pandas.pydata.org/pandas-docs/stable/user_guide/reshaping.html>`_
- `What is goal of reshaping? <http://vita.had.co.nz/papers/tidy-data.html>`_
- Categoricals: WM 12.1",
"Tues, Nov 5",- Speed and Performance in Python,"- `Understanding Performance <../notebooks/class_2/week_4/10_speed_and_ease_of_use.html>`_
- `Improving Performance <../notebooks/PDS_not_yet_in_coursera/30_big_data/50_performance_solutions.html>`_
- `Object dtypes <../notebooks/PDS_not_yet_in_coursera/object_vectors.html>`_
- `Code Reviews <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/pr_review.html>`_
- **Project Strategy Plan Due**",
"Thurs, Nov 7",- Statistics with statsmodels,"- WM, 3rd Edition, Chapter 12, 12.1, 12.2, 12.3 (Patsy and statsmodels, not scikit-learn)
- `Skim ""Linear Models"" <https://www.statsmodels.org/stable/regression.html>`_
- `Skim ""Discrete Dep Var Models"" <https://www.statsmodels.org/stable/discretemod.html>`_
- `Regression Diagnostics <https://www.statsmodels.org/stable/examples/notebooks/generated/regression_diagnostics.html>`_
- `Regression Plots <https://www.statsmodels.org/stable/examples/notebooks/generated/regression_plots.html>`_
- `Patsy: Differences from R <https://patsy.readthedocs.io/en/latest/R-comparison.html>`_",
"Tues, Nov 12",- Machine Learning with sckikit-learn,"- JVP Chapter 5 up to ""Hyperparameters and Model Validation"" Section (pp 331 - 359)",
"Thurs, Nov 14","- Defining Your Own Estimators
- Regex","- Review linear regression as matrix manipulations. `Here's a nice review. <https://www.stat.purdue.edu/~boli/stat512/lectures/topic3.pdf>`_
- `Review how to define classes <https://realpython.com/python3-object-oriented-programming/>`_
- `Broadcasting Gotchyas <../notebooks/class_2/week_3/41_broadcasting.html#a-common-gotcha-narrow-matrices-v-1-dimensional-vectors>`_",
"Tues, Nov 19","- Parallelism 
- Distributed Computing","- `conda Environments <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/conda_environments.html>`_
- `Parallel Computing <../notebooks/PDS_not_yet_in_coursera/30_big_data/60_parallelism.html>`_
- `Distributed Computing with dask <../notebooks/PDS_not_yet_in_coursera/30_big_data/70_dask.html>`_
(Note reading includes a 45 minute video to watch)
- **Opioid Project Rough Draft Due**",
"Thurs, Nov 21",LAST CLASS,,
Wed Dec 12,,**Final Project Report Due**,
